Time	UI (ID 01) / Voltage U	UI (ID 01) / Current I	UI (ID 02) / Voltage U	UI (ID 02) / Current I
t/s	U/V	I/A	U/V	I/A

1.83	-0.1050736000	-0.001	-0.1347305000	-0.001
1.84	-0.1200841000	-0.001	-0.1347305000	0.002
1.84	-0.1200841000	-0.001	-0.1347305000	-0.001
1.85	-0.1350946000	-0.001	-0.1347305000	-0.001
1.85	-0.1200841000	-0.001	-0.1497006000	-0.001
1.86	-0.1350946000	0.002	-0.1347305000	-0.001
1.86	-0.1200841000	-0.001	-0.1347305000	-0.001
1.87	-0.1350946000	0.002	-0.1347305000	-0.001
1.87	-0.1350946000	-0.001	-0.1347305000	-0.004
1.88	-0.1350946000	-0.001	-0.1197605000	-0.004
1.88	-0.1200841000	0.002	-0.1347305000	-0.001
1.88	-0.1350946000	0.002	-0.1497006000	0.002
1.89	-0.1350946000	-0.001	-0.1347305000	0.002
1.89	-0.1501051000	-0.001	-0.1497006000	-0.001
1.90	-0.1200841000	0.002	-0.1497006000	-0.001
1.90	-0.1350946000	-0.001	-0.1497006000	0.002
1.91	-0.1350946000	-0.001	-0.1497006000	-0.004
1.91	-0.1501051000	-0.001	-0.1497006000	-0.004
1.92	-0.1501051000	-0.001	-0.1497006000	-0.004
1.92	-0.1350946000	-0.001	-0.1497006000	-0.001
1.93	-0.1350946000	-0.001	-0.1497006000	-0.001
1.93	-0.1501051000	-0.001	-0.1497006000	-0.001
1.94	-0.1350946000	-0.001	-0.1497006000	-0.001
1.95	-0.1501051000	-0.001	-0.1497006000	0.002
1.95	-0.1501051000	-0.001	-0.1497006000	0.002
1.96	-0.1350946000	-0.001	-0.1497006000	0.002
1.96	-0.1501051000	0.002	-0.1497006000	0.002
1.97	-0.1501051000	-0.001	-0.1497006000	-0.001
1.97	-0.1501051000	-0.001	-0.1497006000	-0.001
1.98	-0.1501051000	0.002	-0.1497006000	-0.001
1.98	-0.1501051000	-0.001	-0.1497006000	-0.001
1.99	-0.1501051000	-0.001	-0.1497006000	-0.001
1.99	-0.1651156000	0.002	-0.1497006000	-0.004
2.00	-0.1501051000	-0.001	-0.1497006000	-0.004
2.00	-0.1501051000	-0.001	-0.1497006000	-0.001
2.01	-0.1501051000	0.002	-0.1497006000	0.002
2.01	-0.1501051000	-0.001	-0.1497006000	0.002
2.02	-0.1651156000	-0.001	-0.1646707000	-0.001
2.02	-0.1501051000	0.002	-0.1497006000	-0.001
2.03	-0.1651156000	-0.001	-0.1497006000	-0.001
2.03	-0.1651156000	-0.001	-0.1497006000	-0.004
2.04	-0.1651156000	0.002	-0.1497006000	-0.001
2.04	-0.1651156000	-0.001	-0.1646707000	-0.004
2.05	-0.1501051000	-0.001	-0.1497006000	-0.004
2.05	-0.1501051000	-0.001	-0.1497006000	-0.001
2.06	-0.1651156000	-0.001	-0.1497006000	0.002
2.06	-0.1651156000	-0.001	-0.1497006000	0.002
2.07	-0.1651156000	-0.001	-0.1497006000	-0.001
2.07	-0.1501051000	0.002	-0.1347305000	0.002
2.08	-0.1651156000	-0.001	-0.1497006000	0.002
2.08	-0.1651156000	-0.001	-0.1497006000	0.002
2.09	-0.1651156000	-0.001	-0.1497006000	-0.001
2.09	-0.1501051000	-0.001	-0.1497006000	-0.004
2.10	-0.1501051000	-0.001	-0.1497006000	-0.004
2.10	-0.1501051000	-0.001	-0.1497006000	-0.004
2.11	-0.1501051000	-0.001	-0.1497006000	-0.001
2.11	-0.1350946000	-0.001	-0.1497006000	0.002
2.12	-0.1501051000	-0.001	-0.1197605000	-0.001
2.12	-0.1501051000	-0.001	-0.1347305000	-0.001
2.13	-0.1501051000	-0.001	-0.1497006000	0.002
2.13	-0.1501051000	-0.001	-0.1497006000	0.002
2.13	-0.1501051000	-0.001	-0.1497006000	-0.001
2.14	-0.1501051000	-0.001	-0.1497006000	-0.004
2.14	-0.1501051000	-0.001	-0.1347305000	-0.001
2.15	-0.1501051000	-0.001	-0.1497006000	-0.004
2.15	-0.1501051000	-0.001	-0.1347305000	-0.001
2.16	-0.1501051000	-0.001	-0.1497006000	-0.004
2.16	-0.1501051000	-0.001	-0.1197605000	-0.001
2.17	-0.1501051000	-0.001	-0.1347305000	0.002
2.17	-0.1501051000	-0.001	-0.1347305000	-0.001
2.18	-0.1501051000	-0.001	-0.1347305000	0.002
2.18	-0.1501051000	-0.001	-0.1347305000	-0.004
2.19	-0.1501051000	-0.001	-0.1197605000	0.002
2.19	-0.1501051000	-0.001	-0.1347305000	-0.001
2.20	-0.1501051000	-0.001	-0.1197605000	-0.004
2.20	-0.1501051000	-0.001	-0.1347305000	-0.001
2.21	-0.1501051000	-0.001	-0.1347305000	-0.004
2.21	-0.1501051000	-0.001	-0.1197605000	-0.001
2.22	-0.1501051000	-0.001	-0.1197605000	-0.001
2.22	-0.1501051000	-0.001	-0.1197605000	0.002
2.23	-0.1501051000	-0.001	-0.1197605000	0.002
2.23	-0.1501051000	-0.001	-0.1047904000	-0.001
2.24	-0.1501051000	-0.001	-0.1047904000	0.002
2.24	-0.1501051000	-0.001	-0.1197605000	0.002
2.25	-0.1350946000	0.002	-0.1047904000	0.002
2.26	-0.1350946000	-0.001	-0.1047904000	-0.004
2.26	-0.1350946000	-0.001	-0.1047904000	-0.001
2.27	-0.1200841000	0.002	-0.1047904000	-0.001
2.27	-0.1200841000	0.002	-0.1047904000	-0.004
2.28	-0.1200841000	-0.001	-0.1047904000	-0.004
2.28	-0.1050736000	-0.001	-0.1197605000	-0.001
2.29	-0.1200841000	-0.001	-0.0898203600	0.002
2.29	-0.1200841000	-0.001	-0.1047904000	0.002
2.30	-0.1200841000	-0.001	-0.1047904000	0.002
2.30	-0.1050736000	-0.001	-0.1047904000	-0.001
2.31	-0.1200841000	-0.001	-0.1047904000	0.002
2.31	-0.1050736000	-0.001	-0.0898203600	0.002
2.32	-0.1050736000	0.002	-0.0898203600	-0.004
2.32	-0.1050736000	-0.001	-0.0898203600	-0.004
2.33	-0.1200841000	0.002	-0.0748503000	-0.004
2.33	-0.1050736000	-0.001	-0.0898203600	-0.007
2.34	-0.1050736000	-0.001	-0.0748503000	-0.004
2.34	-0.1050736000	-0.001	-0.0748503000	0.002
2.35	-0.1050736000	-0.001	-0.0748503000	0.002
2.35	-0.1050736000	-0.001	-0.0748503000	-0.001
2.36	-0.0900630500	-0.001	-0.0449101800	-0.001
2.36	-0.0900630500	0.002	-0.0598802400	0.002
